FECHA;IGPA;colbun ;cencosud;corpbanca;retorno.igpa; retorno.colbun;retorno.cencosud;retorno.corpbanca
8-28-15;14563,65;186,87;1328;6,421;2,38%;5,03%;-1,64%;1,78%
8-21-15;14224,41;177,92;1350,1;6,309;-2,20%;-1,87%;-0,02%;-4,45%
8-14-15;14544,03;181,31;1350,4;6,603;-1,43%;-3,66%;-3,54%;-1,40%
8-7-15;14755,42;188,2;1400;6,697;-0,28%;6,64%;0,11%;0,48%
7-31-15;14796,16;176,48;1398,5;6,665;0,70%;-3,50%;-5,62%;-2,53%
7-24-15;14693,66;182,88;1481,7;6,838;-1,36%;-3,71%;-1,48%;0,00%
7-17-15;14895,54;189,92;1503,9;6,838;0,35%;2,78%;5,17%;2,37%
7-10-15;14844,04;184,78;1430;6,68;0,74%;3,65%;-5,58%;-4,57%
7-3-15;14735,11;178,28;1514,5;7;-0,91%;0,30%;0,79%;-1,67%
6-26-15;14870,33;177,75;1502,6;7,119;-0,50%;-3,19%;-2,91%;-6,34%
6-19-15;14945,77;183,6;1547,6;7,601;-1,59%;0,05%;1,48%;-0,46%
6-12-15;15186,96;183,5;1525;7,636;-0,31%;0,51%;1,96%;0,00%
6-5-15;15234,81;182,57;1495,7;7,636;-1,70%;0,95%;-3,49%;2,88%
5-29-15;15498,17;180,86;1549,8;7,422;-0,42%;0,00%;-2,06%;0,38%
5-22-15;15563,13;180,86;1582,4;7,394;-1,43%;-1,65%;-0,47%;1,00%
5-15-15;15788,8;183,89;1589,8;7,321;0,03%;0,00%;-4,12%;4,62%
5-8-15;15784,79;183,89;1658,1;6,998;1,14%;-4,38%;3,28%;1,82%
5-1-15;15607,15;192,31;1605,5;6,873;-0,66%;6,74%;1,88%;-0,68%
4-24-15;15710,17;180,17;1575,9;6,92;0,85%;-6,05%;-1,14%;1,82%
4-17-15;15577,79;191,78;1594,1;6,796;-0,39%;1,81%;0,35%;-1,25%
4-10-15;15639,16;188,37;1588,6;6,882;1,54%;-0,24%;6,00%;2,90%
4-3-15;15402,61;188,82;1498,7;6,688;1,78%;4,02%;5,92%;-0,01%
3-27-15;15132,77;181,53;1415;6,689;-0,08%;3,75%;1,48%;-3,03%
3-20-15;15144,56;174,97;1394,3;6,898;1,13%;0,63%;3,04%;1,28%
3-13-15;14975,52;173,87;1353,1;6,811;-2,51%;-0,63%;-7,32%;-9,32%
3-6-15;15361,37;174,98;1459,9;7,511;-1,00%;-0,13%;-3,40%;-1,61%
2-27-15;15516,67;175,21;1511,3;7,634;-0,38%;-1,88%;-4,21%;1,75%
2-20-15;15575,31;178,56;1577,8;7,503;0,37%;-1,34%;-0,36%;0,01%
2-13-15;15518,19;180,99;1583,5;7,502;0,74%;2,00%;-0,42%;1,28%
2-6-15;15404,43;177,44;1590,2;7,407;2,44%;0,58%;13,49%;5,14%
1-30-15;15038,07;176,41;1401,2;7,045;-0,75%;0,93%;3,99%;4,00%
1-23-15;15151,58;174,78;1347,4;6,774;2,81%;8,17%;-0,61%;-0,41%
1-16-15;14737,27;161,58;1355,7;6,802;-1,29%;-1,43%;-3,83%;-3,28%
1-9-15;14930,47;163,92;1409,7;7,033;-1,48%;1,45%;-6,90%;-3,50%
1-2-15;15154,91;161,57;1514,2;7,288;0,74%;1,03%;0,61%;1,65%
12-26-14;15044,16;159,92;1505;7,17;0,17%;-0,05%;4,73%;-0,53%
12-19-14;15018,74;160;1437;7,208;-0,06%;-1,36%;-1,94%;-1,99%
12-12-14;15027,13;162,21;1465,5;7,354;-3,66%;-2,28%;-4,22%;-3,33%
12-5-14;15597,76;166;1530;7,607;-0,62%;1,90%;-3,94%;1,43%
11-28-14;15695,78;162,91;1592,7;7,5;0,16%;2,49%;2,75%;-0,70%
11-21-14;15670,77;158,95;1550;7,553;1,62%;0,42%;-4,36%;-1,83%
11-14-14;15421,53;158,28;1620,7;7,694;0,64%;1,07%;-2,66%;0,33%
11-7-14;15322,79;156,6;1665;7,669;0,77%;2,29%;2,71%;0,31%
10-31-14;15206,4;153,09;1621;7,645;0,43%;-2,45%;0,68%;4,16%
10-24-14;15141,47;156,94;1610,1;7,34;1,31%;3,03%;-0,67%;-1,77%
10-17-14;14946,05;152,33;1620,9;7,472;-1,62%;0,22%;-3,52%;-2,63%
10-10-14;15191,98;152;1680;7,674;-1,89%;1,08%;-2,76%;1,93%
10-3-14;15484,08;150,37;1727,6;7,529;-0,88%;-1,85%;-2,52%;1,02%
9-26-14;15621,57;153,2;1772,2;7,453;-1,11%;-0,52%;-1,91%;-1,28%
9-19-14;15797,64;154;1806,8;7,55;0,83%;-1,94%;0,29%;-0,72%
9-12-14;15668;157,04;1801,5;7,605;-1,69%;-0,33%;0,66%;-1,30%
9-5-14;15937,04;157,56;1789,6;7,705;1,53%;2,77%;1,20%;7,76%
8-29-14;15697,32;153,32;1768,4;7,15;0,96%;0,13%;2,10%;1,63%
8-22-14;15547,72;153,12;1732;7,035;-0,08%;-2,14%;-4,42%;2,27%
8-15-14;15559,61;156,47;1812;6,879;1,22%;5,63%;-1,24%;1,54%
8-8-14;15372,68;148,13;1834,7;6,775;-0,26%;0,25%;2,62%;0,49%
8-1-14;15413,31;147,76;1787,8;6,742;-0,23%;0,85%;-3,30%;-1,14%
7-25-14;15449,49;146,51;1848,9;6,82;-0,58%;-0,25%;-0,06%;-0,15%
7-18-14;15539,46;146,88;1850;6,83;-0,74%;-1,94%;-1,87%;-0,28%
7-11-14;15655,7;149,79;1885,2;6,849;2,06%;5,53%;2,37%;0,00%
7-4-14;15339,8;141,94;1841,5;6,849;0,14%;2,17%;0,10%;-0,01%
6-27-14;15317,71;138,93;1839,6;6,85;-0,04%;-0,41%;5,73%;2,95%
6-20-14;15323,95;139,5;1739,9;6,654;0,08%;-0,42%;-3,07%;-0,51%
6-13-14;15311,16;140,09;1795;6,688;-1,65%;-0,02%;-4,52%;-0,07%
6-6-14;15568,42;140,12;1880;6,693;0,50%;0,24%;-2,08%;-0,06%
5-30-14;15490,99;139,79;1920;6,697;-1,26%;1,51%;-1,05%;-2,02%
5-23-14;15687,91;137,71;1940,4;6,835;-0,45%;-1,41%;-1,43%;0,35%
5-16-14;15758,57;139,68;1968,5;6,811;0,78%;1,18%;3,23%;-0,19%
5-9-14;15636,17;138,05;1906,9;6,824;-0,95%;-1,39%;1,69%;3,02%
5-2-14;15785,69;139,99;1875,3;6,624;2,15%;2,06%;-1,53%;1,52%
4-25-14;15453,94;137,16;1904,4;6,525;-1,47%;-3,98%;-0,51%;-2,45%
4-18-14;15684,53;142,85;1914,1;6,689;0,62%;0,92%;2,24%;-0,36%
4-11-14;15587,67;141,55;1872,2;6,713;2,20%;3,53%;4,34%;3,95%
4-4-14;15251,77;136,72;1794,3;6,458;0,16%;-0,20%;1,10%;3,48%
3-28-14;15227,21;137;1774,7;6,241;2,29%;5,84%;9,25%;-0,75%
3-21-14;14885,66;129,44;1624,4;6,288;0,77%;1,78%;-3,68%;0,27%
3-14-14;14772,1;127,18;1686,4;6,271;-2,12%;-1,41%;-4,72%;-4,35%
3-7-14;15091,73;129;1770;6,556;-0,46%;-0,77%;4,00%;0,63%
2-28-14;15160,99;130;1702;6,515;2,26%;0,46%;-1,18%;2,52%
2-21-14;14825,88;129,41;1722,3;6,355;-0,92%;2,71%;13,83%;1,27%
2-14-14;14963,05;126;1513,1;6,275;4,34%;3,54%;0,85%;4,24%
2-7-14;14340,72;121,69;1500,4;6,02;1,33%;2,00%;-3,20%;-3,06%
1-31-14;14153,12;119,3;1550;6,21;-3,97%;-3,98%;-7,71%;-15,45%
1-24-14;14738,51;124,25;1679,4;7,345;-2,49%;2,69%;-1,98%;0,14%
1-17-14;15114,46;121;1713,3;7,335;1,85%;2,11%;-0,52%;-1,31%
1-10-14;14840,07;118,5;1722,2;7,432;-1,75%;-0,48%;-8,56%;-0,77%
1-3-14;15103,94;119,07;1883,5;7,49;0,15%;-1,15%;2,70%;4,62%
12-27-13;15081,69;120,45;1834;7,159;0,02%;0,36%;-4,23%;-4,12%
12-20-13;15079,26;120,02;1915;7,467;0,69%;2,50%;2,07%;6,90%
12-13-13;14976,63;117,09;1876,2;6,985;-1,20%;-3,43%;-2,79%;-1,66%
12-6-13;15157,98;121,25;1930;7,103;-1,99%;-1,32%;-0,28%;5,54%
11-29-13;15465,53;122,87;1935,4;6,73;0,94%;-0,75%;-1,76%;10,35%
11-22-13;15321,23;123,8;1970;6,099;-1,51%;-1,21%;-3,63%;1,43%
11-15-13;15555,41;125,32;2044,3;6,013;-1,29%;-1,49%;-9,02%;1,66%
11-8-13;15758,86;127,22;2247,1;5,915;-1,64%;-0,65%;8,49%;5,53%
11-1-13;16021,06;128,05;2071,2;5,605;0,74%;-2,39%;-1,37%;-1,96%
10-25-13;15903,72;131,18;2100;5,717;0,71%;0,24%;-2,33%;-0,10%
10-18-13;15791,18;130,87;2150,1;5,723;0,45%;-0,25%;1,54%;-3,00%
10-11-13;15720,81;131,2;2117,4;5,9;-0,01%;-2,24%;-5,05%;7,84%
10-4-13;15722,7;134,2;2230,1;5,471;-0,81%;1,97%;-1,80%;0,64%
9-27-13;15850,52;131,61;2270,9;5,436;1,17%;-3,04%;5,52%;1,76%
9-20-13;15667,55;135,74;2152,1;5,342;0,70%;0,35%;-0,82%;-0,69%
9-13-13;15557,96;135,27;2170;5,379;-0,09%;1,71%;4,33%;0,54%
9-6-13;15571,36;133;2080;5,35;3,89%;6,01%;1,13%;12,61%
8-30-13;14987,99;125,46;2056,8;4,751;-0,90%;-2,39%;-2,31%;-4,31%
8-23-13;15123,54;128,53;2105,4;4,965;-1,55%;-5,77%;-8,26%;-4,34%
8-16-13;15362,31;136,4;2294,9;5,19;-1,14%;1,54%;-0,57%;-2,64%
8-9-13;15540,15;134,33;2308;5,331;-0,81%;-0,08%;-4,94%;2,52%
8-2-13;15667,83;134,44;2428;5,2;-0,73%;0,81%;0,22%;0,99%
7-26-13;15783,66;133,36;2422,7;5,149;-1,04%;-1,18%;0,40%;-4,28%
7-19-13;15948,78;134,95;2413;5,379;2,71%;5,95%;2,26%;-0,26%
7-12-13;15527,95;127,37;2359,6;5,393;-2,17%;-4,51%;-0,89%;-3,73%
7-5-13;15872,91;133,39;2380,9;5,602;-4,24%;2,32%;-4,73%;-2,47%
6-28-13;16575,54;130,36;2499;5,744;3,65%;2,59%;7,20%;9,39%
6-21-13;15992,52;127,07;2331,1;5,251;-3,41%;-5,77%;-1,65%;-2,74%
6-14-13;16557,23;134,85;2370,2;5,399;-2,74%;-2,75%;-6,62%;-6,98%
6-7-13;17023,45;138,66;2538,2;5,804;-1,42%;-2,15%;-0,89%;-0,87%
5-31-13;17269,21;141,7;2561;5,855;-0,14%;-0,30%;-2,41%;-5,67%
5-24-13;17293,63;142,13;2624,3;6,207;-1,21%;0,55%;2,47%;-3,20%
5-17-13;17504,87;141,35;2561;6,412;-1,54%;-4,49%;-3,66%;0,00%
5-10-13;17777,98;148;2658,2;6,412;-0,92%;0,65%;0,12%;-1,63%
5-3-13;17942,25;147,04;2655;6,518;1,06%;2,35%;-0,75%;-1,84%
4-26-13;17754,52;143,66;2675;6,64;-0,56%;3,36%;-0,67%;4,30%
4-19-13;17854,99;138,99;2693;6,366;-0,78%;-1,12%;-3,13%;-0,62%
4-12-13;17994,62;140,57;2779,9;6,406;1,09%;-1,01%;1,12%;-0,40%
4-5-13;17801,19;142;2749;6,432;-3,03%;-1,50%;-6,40%;-0,88%
3-29-13;18356,7;144,16;2937;6,489;-0,44%;-0,39%;-1,77%;-2,60%
3-22-13;18437,71;144,73;2990;6,662;0,51%;1,56%;2,11%;-0,52%
3-15-13;18344,86;142,51;2928,2;6,697;-2,20%;-2,28%;-1,26%;0,47%
3-8-13;18758,09;145,84;2965,5;6,666;-0,74%;-1,86%;1,34%;-4,17%
3-1-13;18898,86;148,61;2926,4;6,956;0,61%;0,89%;0,62%;3,01%
2-22-13;18785,18;147,3;2908,3;6,753;-0,84%;-3,61%;-0,91%;-3,25%
2-15-13;18943,71;152,82;2935;6,98;0,25%;-0,12%;0,33%;0,75%
2-8-13;18897,36;153;2925,3;6,928;0,28%;2,93%;-0,09%;2,18%
2-1-13;18845,15;148,65;2927,8;6,78;1,16%;4,19%;4,19%;3,23%
1-25-13;18629,85;142,67;2810;6,568;-0,34%;-1,53%;-2,16%;-2,70%
1-18-13;18692,7;144,89;2872;6,75;1,61%;3,85%;0,77%;0,75%
1-11-13;18395,72;139,52;2850;6,7;0,95%;1,40%;8,48%;3,09%
1-4-13;18222,22;137,6;2627,2;6,499;1,81%;3,65%;0,00%;1,69%
12-28-12;17898,93;132,76;2627,2;6,391;0,32%;-1,04%;0,45%;1,24%
12-21-12;17842,69;134,16;2615,5;6,313;0,66%;0,71%;2,46%;0,03%
12-14-12;17725,37;133,21;2552,7;6,311;2,61%;0,88%;-0,01%;0,00%
12-7-12;17274,35;132,05;2553;6,311;-0,23%;-0,50%;2,12%;3,46%
11-30-12;17314,58;132,71;2500;6,1;-0,22%;0,17%;-2,43%;2,35%
11-23-12;17352,42;132,48;2562,3;5,96;-0,86%;-0,62%;1,72%;-0,33%
11-16-12;17503,33;133,3;2519;5,98;-1,00%;0,19%;-1,98%;-6,25%
11-9-12;17679,52;133,05;2570;6,379;-0,91%;-1,07%;-2,73%;2,59%
11-2-12;17841,96;134,49;2642;6,218;0,33%;1,04%;2,80%;1,11%
10-26-12;17782,64;133,1;2570;6,15;-0,29%;-0,05%;-7,45%;-0,66%
10-19-12;17833,63;133,16;2776,9;6,191;0,43%;-0,27%;-0,82%;3,74%
10-12-12;17756,45;133,52;2800;5,968;-0,53%;-0,10%;-2,28%;4,14%
10-5-12;17850,5;133,66;2865,2;5,731;1,61%;-0,48%;0,57%;1,43%
9-28-12;17567,47;134,31;2849;5,65;-0,04%;0,80%;-0,04%;-0,18%
9-21-12;17574,07;133,24;2850;5,66;0,35%;-1,54%;0,71%;-0,44%
9-14-12;17513,43;135,32;2829,9;5,685;1,16%;3,73%;2,91%;1,70%
9-7-12;17312,5;130,46;2750;5,59;0,36%;-3,36%;-1,11%;1,64%
8-31-12;17250,05;135;2781;5,5;-0,63%;-1,61%;0,22%;-4,00%
8-24-12;17360,2;137,21;2775;5,729;-1,38%;1,65%;-2,15%;-2,78%
8-17-12;17602,54;134,98;2835,9;5,893;1,63%;0,90%;5,27%;5,87%
8-10-12;17320,84;133,78;2694;5,566;-0,25%;2,55%;-0,26%;-7,23%
8-3-12;17364,52;130,45;2701;6;-1,33%;-3,73%;-1,89%;1,30%
7-27-12;17599,23;135,5;2753;5,923;-2,24%;-2,50%;-3,06%;-5,52%
7-20-12;18002,75;138,98;2840;6,269;0,22%;0,67%;0,60%;1,67%
7-13-12;17963,66;138,05;2823;6,166;-0,69%;-1,46%;0,32%;-1,92%
7-6-12;18088,36;140,1;2814;6,287;;;;